Dataset	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
Ratio_of_triglycerides_to_phosphoglycerides__FOM1	Battram T	ARIES	-	09/04/2019	Ratio of triglycerides to phosphoglycerides	-	-	-	DNA methylation	Ratio of triglycerides to phosphoglycerides	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	650	1	-	48	-	650	650	-	-	-	-	-
Apolipoprotein_B__g_l___FOM1	Battram T	ARIES	-	09/04/2019	Apolipoprotein B	EFO_0004615	-	-	DNA methylation	Apolipoprotein B	Age and technical covariates	Beta values	g/l	Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Ratio_of_apolipoprotein_B_to_apolipoprotein_A_I__FOM1	Battram T	ARIES	-	09/04/2019	Ratio of apolipoprotein B to apolipoprotein A I	-	-	-	DNA methylation	Ratio of apolipoprotein B to apolipoprotein A I	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	672	1	-	48	-	672	672	-	-	-	-	-
Total_fatty_acids__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total fatty acids	EFO_0005110	-	-	DNA methylation	Total fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	659	1	-	48	-	659	659	-	-	-	-	-
X22_6__docosahexaenoic_acid__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	22:6 docosahexaenoic acid	EFO_0007761	-	-	DNA methylation	22:6 docosahexaenoic acid	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-
Omega_3_fatty_acids__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Omega 3 fatty acids	EFO_0005110	-	-	DNA methylation	Omega 3 fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-
Polyunsaturated_fatty_acids__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Polyunsaturated fatty acids	EFO_0005110	-	-	DNA methylation	Polyunsaturated fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Monounsaturated_fatty_acids__16_1__18_1__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Monounsaturated fatty acids 16:1 18:1	EFO_0005110	-	-	DNA methylation	Monounsaturated fatty acids 16:1 18:1	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	654	1	-	48	-	654	654	-	-	-	-	-
Saturated_fatty_acids__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Saturated fatty acids	EFO_0005110	-	-	DNA methylation	Saturated fatty acids	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-
Ratio_of_22_6_docosahexaenoic_acid_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of 22:6 docosahexaenoic acid to total fatty acids	EFO_0005110	-	-	DNA methylation	Ratio of 22:6 docosahexaenoic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Lactate__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Lactate	EFO_0007745	-	-	DNA methylation	Lactate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-
Pyruvate__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Pyruvate	-	-	-	DNA methylation	Pyruvate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Alanine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Alanine	EFO_0009765	-	-	DNA methylation	Alanine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Leucine__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Leucine	EFO_0009770	-	-	DNA methylation	Leucine	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	671	1	-	48	-	671	671	-	-	-	-	-
Acetate__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Acetate	-	-	-	DNA methylation	Acetate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
X3_hydroxybutyrate__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	3-hydroxybutyrate	-	-	-	DNA methylation	3-hydroxybutyrate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	654	1	-	48	-	654	654	-	-	-	-	-
Insulin_u_ml__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Fasting insulin	EFO_0004466	-	-	DNA methylation	Fasting insulin	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-
Insulin_pmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Fasting insulin	EFO_0004466	-	-	DNA methylation	Fasting insulin	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	660	1	-	48	-	660	660	-	-	-	-	-
Triglycerides_mmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides	EFO_0004530	-	-	DNA methylation	Triglycerides	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
vLDL_cholesterol_mmol_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	VLDL cholesterol	EFO_0008317	-	-	DNA methylation	VLDL cholesterol	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
C_Reactive_Protein_mg_l__fasting_FOM1	Battram T	ARIES	-	09/04/2019	C-reactive protein	EFO_0004458	-	-	DNA methylation	C-reactive protein	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	636	1	-	48	-	636	636	-	-	-	-	-
Sex_hormone_binding_globulin__SHBG__nmol_L__FOM1	Battram T	ARIES	-	09/04/2019	Sex hormone-binding globulin	EFO_0003941	-	-	DNA methylation	Sex hormone-binding globulin	Age and technical covariates	Beta values	nmol/l	Illumina HumanMethylation450	Whole blood	-	637	1	-	48	-	637	637	-	-	-	-	-
CTx_ng_mL__fasting_FOM1	Battram T	ARIES	-	09/04/2019	Fasting CTX	-	-	-	DNA methylation	Fasting CTX	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	619	1	-	48	-	619	619	-	-	-	-	-
Androstenedione_nmol_L__FOM1	Battram T	ARIES	-	09/04/2019	Androstenedione	EFO_0007972	-	-	DNA methylation	Androstenedione	Age and technical covariates	Beta values	nmol/l	Illumina HumanMethylation450	Whole blood	-	673	1	-	48	-	673	673	-	-	-	-	-
Adiponectin_ng_ml__FOM1	Battram T	ARIES	-	09/04/2019	Adiponectin	EFO_0004502	-	-	DNA methylation	Adiponectin	Age and technical covariates	Beta values	ng/ml	Illumina HumanMethylation450	Whole blood	-	275	1	-	47	-	275	275	-	-	-	-	-
Glycoprotein_acetyls__mainly_a1_acid_glycoprotein__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Glycoprotein acetyls	EFO_0004555	-	-	DNA methylation	Glycoprotein acetyls	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
DV__Mean_systolic_blood_pressure___Left_arm__FOM1	Battram T	ARIES	-	09/04/2019	Systolic blood pressure left arm	EFO_0006335	-	-	DNA methylation	Systolic blood pressure left arm	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Hip_Wards_Z_Score__FOM1	Battram T	ARIES	-	09/04/2019	Hip Wards Z-score	-	-	-	DNA methylation	Hip Wards Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	319	1	-	48	-	319	319	-	-	-	-	-
Concentration_of_chylomicrons_and_extremely_large_VLDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of chylomicrons and extremely large VLDL particles	-	-	-	DNA methylation	Concentration of chylomicrons and extremely large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	608	1	-	48	-	608	608	-	-	-	-	-
Total_lipids_in_chylomicrons_and_extremely_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in chylomicrons and extremely large VLDL	-	-	-	DNA methylation	Total lipids in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	649	1	-	48	-	649	649	-	-	-	-	-
Phospholipids_in_chylomicrons_and_extremely_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in chylomicrons and extremely large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	644	1	-	48	-	644	644	-	-	-	-	-
Total_cholesterol_in_chylomicrons_and_extremely_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in chylomicrons and extremely large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-
Cholesterol_esters_in_chylomicrons_and_extremely_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in chylomicrons and extremely large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-
Free_cholesterol_in_chylomicrons_and_extremely_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in chylomicrons and extremely large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	632	1	-	48	-	632	632	-	-	-	-	-
Triglycerides_in_chylomicrons_and_extremely_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in chylomicrons and extremely large VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in chylomicrons and extremely large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	641	1	-	48	-	641	641	-	-	-	-	-
Concentration_of_very_large_VLDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of very large VLDL particles	-	-	-	DNA methylation	Concentration of very large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	603	1	-	48	-	603	603	-	-	-	-	-
Total_lipids_in_very_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in very large VLDL	-	-	-	DNA methylation	Total lipids in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	639	1	-	48	-	639	639	-	-	-	-	-
Phospholipids_in_very_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in very large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	614	1	-	48	-	614	614	-	-	-	-	-
Total_cholesterol_in_very_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in very large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	633	1	-	48	-	633	633	-	-	-	-	-
Cholesterol_esters_in_very_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in very large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	621	1	-	48	-	621	621	-	-	-	-	-
Free_cholesterol_in_very_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in very large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	622	1	-	48	-	622	622	-	-	-	-	-
Triglycerides_in_very_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in very large VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in very large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	623	1	-	48	-	623	623	-	-	-	-	-
Concentration_of_large_VLDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of large VLDL particles	-	-	-	DNA methylation	Concentration of large VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Total_lipids_in_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in large VLDL	-	-	-	DNA methylation	Total lipids in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	658	1	-	48	-	658	658	-	-	-	-	-
Phospholipids_in_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	656	1	-	48	-	656	656	-	-	-	-	-
Total_cholesterol_in_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-
Cholesterol_esters_in_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	650	1	-	48	-	650	650	-	-	-	-	-
Free_cholesterol_in_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	648	1	-	48	-	648	648	-	-	-	-	-
Triglycerides_in_large_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in large VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in large VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	657	1	-	48	-	657	657	-	-	-	-	-
Concentration_of_medium_VLDL_particles__mol_l___FOM1	Battram T	ARIES	-	09/04/2019	Concentration of medium VLDL particles	-	-	-	DNA methylation	Concentration of medium VLDL particles	Age and technical covariates	Beta values	mol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Total_lipids_in_medium_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total lipids in medium VLDL	-	-	-	DNA methylation	Total lipids in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Phospholipids_in_medium_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in medium VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Total_cholesterol_in_medium_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol in medium VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-
Cholesterol_esters_in_medium_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters in medium VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters in medium VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	663	1	-	48	-	663	663	-	-	-	-	-
Phospholipids_in_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in small VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Free_cholesterol_in_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol in small VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Triglycerides_in_small_VLDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in small VLDL	EFO_0004530	-	-	DNA methylation	Triglycerides in small VLDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Phospholipids_in_very_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids in very large HDL	EFO_0004639	-	-	DNA methylation	Phospholipids in very large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	670	1	-	48	-	670	670	-	-	-	-	-
Triglycerides_in_very_large_HDL__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Triglycerides in very large HDL	EFO_0004530	-	-	DNA methylation	Triglycerides in very large HDL	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	666	1	-	48	-	666	666	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_large_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in large LDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	667	1	-	48	-	667	667	-	-	-	-	-
Diacylglycerol__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Diacylglycerol	-	-	-	DNA methylation	Diacylglycerol	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	627	1	-	48	-	627	627	-	-	-	-	-
Conjugated_linoleic_acid__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Conjugated linoleic acid	EFO_0006807	-	-	DNA methylation	Conjugated linoleic acid	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	652	1	-	48	-	652	652	-	-	-	-	-
Ratio_of_conjugated_linoleic_acid_to_total_fatty_acids__percent___FOM1	Battram T	ARIES	-	09/04/2019	Ratio of conjugated linoleic acid to total fatty acids	-	-	-	DNA methylation	Ratio of conjugated linoleic acid to total fatty acids	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	651	1	-	48	-	651	651	-	-	-	-	-
Acetoacetate__mmol_l___FOM1	Battram T	ARIES	-	09/04/2019	Acetoacetate	-	-	-	DNA methylation	Acetoacetate	Age and technical covariates	Beta values	mmol/l	Illumina HumanMethylation450	Whole blood	-	662	1	-	48	-	662	662	-	-	-	-	-
Hip_cortical_width_neck__FOM1	Battram T	ARIES	-	09/04/2019	Hip cortical width neck	-	-	-	DNA methylation	Hip cortical width neck	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-
Hip_cortical_ratio_neck__FOM1	Battram T	ARIES	-	09/04/2019	Hip cortical ratio neck	-	-	-	DNA methylation	Hip cortical ratio neck	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-
Android_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Android region fat	-	-	-	DNA methylation	Android region fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Android_Tissue_Fat__g____FOM1	Battram T	ARIES	-	09/04/2019	Android tissue fat	-	-	-	DNA methylation	Android tissue fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_IDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in IDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in IDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	661	1	-	48	-	661	661	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_large_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in large LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_large_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	668	1	-	48	-	668	668	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_medium_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in medium LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_medium_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in medium LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in medium LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_small_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in small LDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_small_LDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in small LDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in small LDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in large HDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in large HDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	664	1	-	48	-	664	664	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_large_HDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in large HDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in large HDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	665	1	-	48	-	665	665	-	-	-	-	-
Hip_cortical_width_calcar__FOM1	Battram T	ARIES	-	09/04/2019	Hip cortical width calcar	-	-	-	DNA methylation	Hip cortical width calcar	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	653	1	-	48	-	653	653	-	-	-	-	-
Hip_cortical_width_shaft__FOM1	Battram T	ARIES	-	09/04/2019	Hip cortical width shaft	-	-	-	DNA methylation	Hip cortical width shaft	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	645	1	-	48	-	645	645	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_chylomicrons_and_XXL_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in chylomicrons and XXL VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	626	1	-	48	-	626	626	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_chylomicrons_and_XXL_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in chylomicrons and XXL VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in chylomicrons and XXL VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	655	1	-	48	-	655	655	-	-	-	-	-
Phospholipids_to_total_lipds_ratio_in_very_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Phospholipids to total lipds ratio in very large VLDL	EFO_0004639	-	-	DNA methylation	Phospholipids to total lipds ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	637	1	-	48	-	637	637	-	-	-	-	-
Total_cholesterol_to_total_lipids_ratio_in_very_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Total cholesterol to total lipids ratio in very large VLDL	EFO_0004574	-	-	DNA methylation	Total cholesterol to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	614	1	-	48	-	614	614	-	-	-	-	-
Cholesterol_esters_to_total_lipids_ratio_in_very_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Cholesterol esters to total lipids ratio in very large VLDL	EFO_0008589	-	-	DNA methylation	Cholesterol esters to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	591	1	-	48	-	591	591	-	-	-	-	-
Free_cholesterol_to_total_lipids_ratio_in_very_large_VLDL__percent___FOM1	Battram T	ARIES	-	09/04/2019	Free cholesterol to total lipids ratio in very large VLDL	EFO_0008591	-	-	DNA methylation	Free cholesterol to total lipids ratio in very large VLDL	Age and technical covariates	Beta values	percent	Illumina HumanMethylation450	Whole blood	-	616	1	-	48	-	616	616	-	-	-	-	-
